species	NCBI.taxid	mass_kg	mass_db	lifespan_days	lifespan_db	length_cm	length_db	polymorphism_derived_Ne
Chloebia_gouldiae	44316	0.016	EOL	2190	AnAge Erythrura gouldiae;EOL	NA	NA	NA
Chlorocebus_sabaeus	60711	8	ADW	4745	ADW	140	EOL	NA
Chloroceryle_aenea	176938	0.0169	EOL	NA	NA	NA	NA	NA
Chloropsis_cyanopogon	1218682	0.0253	EOL	NA	NA	NA	NA	NA
Chloropsis_hardwickii	667144	0.04	EOL	NA	NA	NA	NA	NA
Choloepus_didactylus	27675	8	ADW	13432	AnAge	73.66	ADW text	NA
Chordeiles_acutipennis	118183	NA	NA	NA	NA	20	ADW text	NA
Chrysemys_picta	8479	0.371812	ADW	22265	AnAge	25	ADW	365464.741507552
Chrysochloris_asiatica	185453	0.047	ADW	NA	NA	10.65	EOL	NA
Chunga_burmeisteri	1352770	1.395	EOL	NA	NA	NA	NA	NA
Ciccaba_nigrolineata	1118524	0.535	ADW	10585	ADW	45	ADW	NA
Cimex_lectularius	79782	NA	NA	572	Johnson 1940	0.5	EOL image	NA
Cinclus_mexicanus	161649	0.0502	AnAge;ADW	2956.5	AnAge;EOL	18	ADW text	NA
Ciona_intestinalis	7719	0.020434	EOL	730	AnAge	15	EOL	NA
Circaetus_pectoralis	321084	2.3	EOL	NA	NA	NA	NA	NA
Clarias_gariepinus	13013	60	fishbase	5475	fishbase	170	fishbase;ADW text;EOL	NA
Clarias_magur	1594786	1.2	ADW	5913	ADW Clarias batrachus	47	ADW Clarias batrachus	NA
Cloeon_dipterum	197152	NA	NA	NA	NA	0.8	EOL image	NA
Clonorchis_sinensis	79923	NA	NA	NA	NA	2.5	ADW	NA
Clunio_marinus	568069	NA	NA	NA	NA	0.15	EOL	NA
Clupea_harengus	7950	1.1	fishbase	9125	fishbase	45.72	ADW	401284.109149278
Cnemophilus_loriae	254448	0.101	EOL	NA	NA	NA	NA	NA
Coccinella_septempunctata	41139	NA	NA	730	ADW	0.78	ADW	NA
Cochlearius_cochlearius	110676	0.726	EOL	NA	NA	NA	NA	NA
Colius_striatus	57412	0.051	AnAge;EOL	4197.5	AnAge;EOL	NA	NA	NA
Collichthys_lucidus	240159	0.0771	fishbase	NA	NA	19.8	fishbase;EOL	NA
Colobus_angolensis	54131	11.7	ADW	12884.5	AnAge	154	EOL	NA
Colossoma_macropomum	42526	40	EOL;fishbase	9125	Animal-world	108	EOL;fishbase	NA
Columba_livia	8932	0.3587	AnAge;ADW	12775	AnAge;ADW	NA	NA	NA
Columbina_picui	115618	0.051	EOL	NA	NA	NA	NA	NA
Condylura_cristata	143302	0.075	ADW	1460	ADW	20.5	ADW	NA
Contarinia_nasturtii	265458	NA	NA	2	Harris and Foster, 1999	0.2	EOL image	NA
Copsychus_sechellarum	797021	0.065	EOL	NA	NA	NA	NA	NA
Coptotermes_formosanus	36987	NA	NA	5475	ADW	1.5	ADW	NA
Corapipo_altera	415028	0.0111	EOL	NA	NA	NA	NA	NA
Coregonus_clupeaformis	59861	19	ADW;fishbase	18250	AnAge;ADW;fishbase	100	ADW;EOL;fishbase	NA
Corvus_brachyrhynchos	85066	0.45	ADW	7300	AnAge	NA	NA	NA
